alias,checkpoint,training_K,K,direction,token_accuracy,exact_match,exact_matches,example_count
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,0,B,0.024193548387096774,0.0,0,124
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,0,F,0.01893939393939394,0.0,0,132
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,1,B,0.9959677419354839,0.9919354838709677,123,124
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,1,F,0.9431818181818182,0.8863636363636364,117,132
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,2,B,1.0,1.0,124,124
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,2,F,0.9545454545454546,0.9090909090909091,120,132
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,4,B,1.0,1.0,124,124
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,4,F,0.9393939393939394,0.8787878787878788,116,132
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,8,B,0.9959677419354839,0.9919354838709677,123,124
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,2,8,F,0.8901515151515151,0.7878787878787878,104,132
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,0,B,0.016129032258064516,0.0,0,124
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,0,F,0.011363636363636364,0.0,0,132
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,1,B,0.5403225806451613,0.13709677419354838,17,124
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,1,F,0.5113636363636364,0.09848484848484848,13,132
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,2,B,0.5685483870967742,0.16129032258064516,20,124
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,2,F,0.5340909090909091,0.10606060606060606,14,132
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,4,B,0.5483870967741935,0.13709677419354838,17,124
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,4,F,0.5454545454545454,0.12878787878787878,17,132
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,8,B,0.5120967741935484,0.10483870967741936,13,124
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,2,8,F,0.5340909090909091,0.14393939393939395,19,132
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,0,B,0.012096774193548387,0.0,0,124
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,0,F,0.022727272727272728,0.0,0,132
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,1,B,0.5362903225806451,0.08064516129032258,10,124
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,1,F,0.9924242424242424,0.9848484848484849,130,132
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,2,B,0.5766129032258065,0.1532258064516129,19,124
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,2,F,1.0,1.0,132,132
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,4,B,0.5766129032258065,0.1532258064516129,19,124
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,4,F,1.0,1.0,132,132
gradmem,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/gradmem_llama_L4H4D256_mem8_K2_ilr0.4_grad_second_bs_64_lr_1e-04_fp32_init_llama/run_1/checkpoint-69000,2,8,B,0.5362903225806451,0.12903225806451613,16,124
