alias,checkpoint,write_objective,step,direction,component,mean,reconstruction_token_accuracy,token_count,gradient_norm_mean,example_count,token_accuracy,exact_match
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,B,energy_key,3309.380010900186,0.014112903225806451,1984,1285.8026270712576,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,B,energy_value,3377.1892616056834,0.005544354838709678,1984,1285.8026270712576,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,B,reconstruction_key,8.330510199069977,0.014112903225806451,1984,1285.8026270712576,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,B,reconstruction_value,14.715536529483694,0.005544354838709678,1984,1285.8026270712576,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,F,energy_key,2035.299889131865,0.005681818181818182,2112,1120.850595185251,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,F,energy_value,3644.5098240881257,0.005681818181818182,2112,1120.850595185251,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,F,reconstruction_key,15.649378288875926,0.005681818181818182,2112,1120.850595185251,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,0,F,reconstruction_value,7.618271569128741,0.005681818181818182,2112,1120.850595185251,132,0.9545454545454546,0.9090909090909091
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,1,B,energy_key,4666.298190175081,0.0,1984,76.84601654544953,124,1.0,1.0
energy-success,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2/checkpoint-833500,energy,1,B,energy_value,5504.138349323984,0.021169354838709676,1984,76.84601654544953,124,1.0,1.0
